canonical_name,place_type,source_datasets,aliases,notes
Sea To Sky Division Of Family Practice,organization,bc_msp_blue_book,Sea To Sky Division Of Family Practice|Sea to Sky Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $73,400.00. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2022/2023 to 2023/2024, total payments $292,000.00."
Selkirk Medical Group,organization,bc_msp_blue_book,Selkirk Medical Group,"Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2019/2020 to 2024/2025, total payments $647,429.30."
Selkirk Medical Group Unassigned In-Patient Care Incentives,organization,bc_msp_blue_book,Selkirk Medical Group Unassigned In-Patient Care Incentives,"Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2014/2015 to 2019/2020, total payments $284,960.00."
Seymore Urgent Primary Care Centre,organization,bc_msp_blue_book,Seymore Urgent Primary Care Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $239,519.44."
Seymour Health Centre,organization,bc_msp_blue_book,Seymour Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2019/2020 to 2024/2025, total payments $1,209,819.27."
Shuswap North Okanagan Div Of Family Practice-Vernon,organization,bc_msp_blue_book,Shuswap North Okanagan Div Of Family Practice-Vernon,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $638,750.00."
Shuswap North Okanagan Division of Family Practice,organization,bc_msp_blue_book,Shuswap North Okanagan Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $639,250.00."
Shuswap North Okanagan Division of Family Practice-Vernon,organization,bc_msp_blue_book,Shuswap North Okanagan Division of Family Practice-Vernon,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2016/2017 to 2020/2021, total payments $913,500.00."
Slocan Community Health Centre,organization,bc_msp_blue_book,Slocan Community Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2014/2015 to 2024/2025, total payments $80,643.65."
South Island Division of Family Practice,organization,bc_msp_blue_book,South Island Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $36,500.00."
South Okanagan Similkameen Division Of Family Practice,organization,bc_msp_blue_book,South Okanagan Similkameen Division of Family Practice|South Okanagan Similkameen Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $614,104.52. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $3,229,418.23."
South Similkameen Health,organization,bc_msp_blue_book,South Similkameen Health,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $726,885.43."
South Similkameen Health Centre,organization,bc_msp_blue_book,South Similkameen Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $54,295.28."
Sparwood Health Centre,organization,bc_msp_blue_book,Sparwood Health Centre|Sparwood Health Centre.,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $587,240.18. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $145,948.65."
SPECIALIST PHYSICIANS,organization,bc_msp_blue_book,SPECIALIST PHYSICIANS,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2022/2023 to 2022/2023, total payments $29,345.13."
Spectrum Health Care,organization,bc_msp_blue_book,Spectrum Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $38,283,352.08."
